epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,129.43,1.36762,1.83356,0.9313,1.05807,0,0.60219,0.49637,0.51067,0.27495,0.59298,0.45902,0.46516,0.22377,1.60475,2.87441,1.18927,1.12802,0,0.0013136,0.0013136,0.0013136
54,132.582,1.40356,1.79772,0.98483,1.02268,0,0.60219,0.49637,0.51067,0.27495,0.59298,0.45902,0.46516,0.22377,1.60475,2.87441,1.18927,1.12802,0,0.0013004,0.0013004,0.0013004
55,135.659,1.44176,1.98693,0.99702,1.02179,0,0.62947,0.57377,0.56958,0.27079,0.66042,0.51014,0.5317,0.23158,1.69881,2.83297,1.15486,1.18341,0,0.0012872,0.0012872,0.0012872
56,138.831,1.45826,1.8105,0.96871,1.02401,0,0.62947,0.57377,0.56958,0.27079,0.66042,0.51014,0.5317,0.23158,1.69881,2.83297,1.15486,1.18341,0,0.001274,0.001274,0.001274
57,141.954,1.37671,1.79522,0.94868,1.02527,0,0.76374,0.42401,0.52845,0.26543,0.76785,0.42623,0.53865,0.23713,1.74621,2.76427,1.24267,1.22593,0,0.0012608,0.0012608,0.0012608
58,145.124,1.46422,1.86416,0.97889,1.02451,0,0.76374,0.42401,0.52845,0.26543,0.76785,0.42623,0.53865,0.23713,1.74621,2.76427,1.24267,1.22593,0,0.0012476,0.0012476,0.0012476
59,148.318,1.38778,1.81095,0.9129,0.99781,0,0.73998,0.4918,0.54036,0.28186,0.67034,0.5082,0.51265,0.24461,1.69214,2.69367,1.33923,1.14842,0,0.0012344,0.0012344,0.0012344
60,151.519,1.39226,1.86044,0.92561,1.01651,0,0.73998,0.4918,0.54036,0.28186,0.67034,0.5082,0.51265,0.24461,1.69214,2.69367,1.33923,1.14842,0,0.0012212,0.0012212,0.0012212
61,154.727,1.35352,1.86548,0.93893,0.99373,0,0.86221,0.513,0.58183,0.29489,0.88961,0.52851,0.5908,0.27793,1.65693,2.7851,1.0943,1.12207,0,0.001208,0.001208,0.001208
62,158.184,1.47566,1.93554,0.94138,1.00214,0,0.86221,0.513,0.58183,0.29489,0.88961,0.52851,0.5908,0.27793,1.65693,2.7851,1.0943,1.12207,0,0.0011948,0.0011948,0.0011948
63,161.308,1.45544,1.76854,0.95803,1.07492,0,0.85521,0.48425,0.55826,0.28255,0.88386,0.49916,0.56001,0.27165,1.681,2.85385,1.08941,1.15538,0,0.0011816,0.0011816,0.0011816
64,163.419,1.39796,1.86085,0.8972,0.99215,0,0.85521,0.48425,0.55826,0.28255,0.88386,0.49916,0.56001,0.27165,1.681,2.85385,1.08941,1.15538,0,0.0011684,0.0011684,0.0011684
65,165.466,1.34972,1.6961,0.88797,1.00099,0,0.65268,0.55457,0.52111,0.26734,0.80871,0.47541,0.52078,0.25984,1.68207,2.6749,1.10477,1.17929,0,0.0011552,0.0011552,0.0011552
66,167.568,1.45314,1.93016,0.94922,1.01912,0,0.65268,0.55457,0.52111,0.26734,0.80871,0.47541,0.52078,0.25984,1.68207,2.6749,1.10477,1.17929,0,0.001142,0.001142,0.001142
67,169.642,1.38784,1.72373,0.94795,1.02657,0,0.80985,0.47541,0.53599,0.25719,0.77828,0.45902,0.51821,0.25582,1.71573,2.74356,1.09014,1.19288,0,0.0011288,0.0011288,0.0011288
68,171.645,1.38377,1.8231,0.90129,1.00159,0,0.80985,0.47541,0.53599,0.25719,0.77828,0.45902,0.51821,0.25582,1.71573,2.74356,1.09014,1.19288,0,0.0011156,0.0011156,0.0011156
69,173.801,1.42128,1.82731,0.92171,1.03372,0,0.76809,0.4918,0.57927,0.26762,0.77104,0.4918,0.53615,0.25727,1.69905,2.87919,1.05205,1.20007,0,0.0011024,0.0011024,0.0011024
70,175.9,1.48573,1.82231,0.93023,1.04981,0,0.76809,0.4918,0.57927,0.26762,0.77104,0.4918,0.53615,0.25727,1.69905,2.87919,1.05205,1.20007,0,0.0010892,0.0010892,0.0010892
71,178.072,1.31371,1.65259,0.87442,1.01777,0,0.68341,0.59016,0.62518,0.30036,0.79257,0.47541,0.56226,0.27001,1.71863,2.96145,0.9798,1.18357,0,0.001076,0.001076,0.001076
72,180.22,1.36134,1.7888,0.85801,1.0121,0,0.68341,0.59016,0.62518,0.30036,0.79257,0.47541,0.56226,0.27001,1.71863,2.96145,0.9798,1.18357,0,0.0010628,0.0010628,0.0010628
73,182.344,1.34321,1.58085,0.89257,1.00018,0,0.73998,0.4918,0.59607,0.30509,0.7737,0.4918,0.58723,0.27986,1.70738,2.91421,0.9819,1.1506,0,0.0010496,0.0010496,0.0010496
74,185.555,1.35577,1.66208,0.89975,1.01551,0,0.73998,0.4918,0.59607,0.30509,0.7737,0.4918,0.58723,0.27986,1.70738,2.91421,0.9819,1.1506,0,0.0010364,0.0010364,0.0010364
75,188.726,1.39699,1.74259,0.91418,0.9922,0,0.70121,0.59016,0.5977,0.31867,0.78762,0.47541,0.5734,0.25533,1.67024,2.81003,0.98612,1.11716,0,0.0010232,0.0010232,0.0010232
76,191.046,1.41903,1.8384,0.90497,0.98896,0,0.70121,0.59016,0.5977,0.31867,0.78762,0.47541,0.5734,0.25533,1.67024,2.81003,0.98612,1.11716,0,0.00101,0.00101,0.00101
77,193.155,1.42332,1.82967,0.89311,0.98526,0,0.71463,0.5082,0.54717,0.28849,0.76723,0.54098,0.58096,0.25225,1.68296,2.6768,0.98789,1.11325,0,0.0009968,0.0009968,0.0009968
78,195.251,1.37111,1.70491,0.8606,0.98002,0,0.71463,0.5082,0.54717,0.28849,0.76723,0.54098,0.58096,0.25225,1.68296,2.6768,0.98789,1.11325,0,0.0009836,0.0009836,0.0009836
79,197.294,1.39555,1.70161,0.84854,0.99316,0,0.64216,0.54098,0.52231,0.27065,0.75825,0.47541,0.55547,0.26685,1.70558,2.7006,1.02143,1.13623,0,0.0009704,0.0009704,0.0009704
80,199.358,1.38658,1.70131,0.91257,1.03105,0,0.64216,0.54098,0.52231,0.27065,0.75825,0.47541,0.55547,0.26685,1.70558,2.7006,1.02143,1.13623,0,0.0009572,0.0009572,0.0009572
81,201.482,1.31128,1.70497,0.84896,0.98926,0,0.62914,0.52459,0.53636,0.27032,0.84925,0.45902,0.54172,0.28,1.63066,2.62226,1.06795,1.09545,0,0.000944,0.000944,0.000944
82,203.6,1.31297,1.67532,0.83918,0.96038,0,0.62914,0.52459,0.53636,0.27032,0.84925,0.45902,0.54172,0.28,1.63066,2.62226,1.06795,1.09545,0,0.0009308,0.0009308,0.0009308
83,205.733,1.31828,1.65619,0.86872,1.00006,0,0.75791,0.5133,0.55831,0.28274,0.7303,0.53277,0.57092,0.27494,1.64732,2.52182,1.03513,1.1439,0,0.0009176,0.0009176,0.0009176
84,207.835,1.42453,1.82036,0.88822,0.99265,0,0.75791,0.5133,0.55831,0.28274,0.7303,0.53277,0.57092,0.27494,1.64732,2.52182,1.03513,1.1439,0,0.0009044,0.0009044,0.0009044
85,209.897,1.2739,1.58843,0.81064,0.98149,0,0.65013,0.57377,0.58323,0.27918,0.74793,0.52459,0.58977,0.27825,1.69287,2.5369,1.09128,1.17877,0,0.0008912,0.0008912,0.0008912
86,212.033,1.35952,1.65171,0.80772,0.9652,0,0.65013,0.57377,0.58323,0.27918,0.74793,0.52459,0.58977,0.27825,1.69287,2.5369,1.09128,1.17877,0,0.000878,0.000878,0.000878
87,214.178,1.33078,1.66617,0.83148,0.97249,0,0.74334,0.4918,0.58268,0.29222,0.82448,0.45902,0.54688,0.26443,1.68345,2.63435,0.98204,1.16079,0,0.0008648,0.0008648,0.0008648
88,216.348,1.25555,1.63532,0.82368,0.96706,0,0.74334,0.4918,0.58268,0.29222,0.82448,0.45902,0.54688,0.26443,1.68345,2.63435,0.98204,1.16079,0,0.0008516,0.0008516,0.0008516
89,218.51,1.26033,1.5229,0.79431,0.98728,0,0.75052,0.49321,0.59482,0.32008,0.85515,0.44262,0.54628,0.29068,1.53669,2.77657,0.89594,1.08734,0,0.0008384,0.0008384,0.0008384
90,221.728,1.26286,1.62277,0.78601,0.99403,0,0.75052,0.49321,0.59482,0.32008,0.85515,0.44262,0.54628,0.29068,1.53669,2.77657,0.89594,1.08734,0,0.0008252,0.0008252,0.0008252
91,224.958,1.20673,1.62756,0.83732,0.98874,0,0.68265,0.57377,0.59999,0.33998,0.79714,0.47541,0.56683,0.2982,1.49638,2.83302,0.85294,1.0684,0,0.000812,0.000812,0.000812
92,228.361,1.32019,1.58826,0.84033,0.98122,0,0.68265,0.57377,0.59999,0.33998,0.79714,0.47541,0.56683,0.2982,1.49638,2.83302,0.85294,1.0684,0,0.0007988,0.0007988,0.0007988
93,231.528,1.29828,1.66217,0.81129,0.9786,0,0.73092,0.57377,0.59334,0.34079,0.73656,0.5082,0.57922,0.31457,1.48228,2.79366,0.86721,1.04138,0,0.0007856,0.0007856,0.0007856
94,234.695,1.34056,1.71056,0.80954,0.94769,0,0.73092,0.57377,0.59334,0.34079,0.73656,0.5082,0.57922,0.31457,1.48228,2.79366,0.86721,1.04138,0,0.0007724,0.0007724,0.0007724
95,237.916,1.25854,1.63799,0.79488,0.98287,0,0.79546,0.57379,0.67102,0.35176,0.67143,0.54098,0.59113,0.31577,1.46489,2.84722,0.85412,1.05121,0,0.0007592,0.0007592,0.0007592
96,241.155,1.32761,1.66303,0.8182,0.96193,0,0.79546,0.57379,0.67102,0.35176,0.67143,0.54098,0.59113,0.31577,1.46489,2.84722,0.85412,1.05121,0,0.000746,0.000746,0.000746
97,244.321,1.40469,1.8033,0.82859,0.96297,0,0.79495,0.57377,0.63614,0.34497,0.67878,0.4918,0.53849,0.28378,1.44326,2.90671,0.86581,1.04375,0,0.0007328,0.0007328,0.0007328
98,246.398,1.26884,1.63527,0.75676,0.94925,0,0.79495,0.57377,0.63614,0.34497,0.67878,0.4918,0.53849,0.28378,1.44326,2.90671,0.86581,1.04375,0,0.0007196,0.0007196,0.0007196
99,248.472,1.2125,1.63868,0.79512,0.96719,0,0.78584,0.55738,0.62922,0.33114,0.6599,0.54098,0.5691,0.31034,1.4812,2.70017,0.88742,1.06144,0,0.0007064,0.0007064,0.0007064
100,250.581,1.26779,1.55389,0.77744,0.9562,0,0.78584,0.55738,0.62922,0.33114,0.6599,0.54098,0.5691,0.31034,1.4812,2.70017,0.88742,1.06144,0,0.0006932,0.0006932,0.0006932
101,252.708,1.18049,1.51389,0.76715,0.94538,0,0.71719,0.52459,0.59859,0.32776,0.7719,0.49938,0.58295,0.31179,1.49048,2.65254,0.90177,1.07687,0,0.00068,0.00068,0.00068
102,254.828,1.34644,1.63133,0.84057,0.99299,0,0.71719,0.52459,0.59859,0.32776,0.7719,0.49938,0.58295,0.31179,1.49048,2.65254,0.90177,1.07687,0,0.0006668,0.0006668,0.0006668
