epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,178.375,1.3485,1.69014,0.88618,1.00999,0,0.73206,0.68303,0.70165,0.45149,0.7639,0.70103,0.73528,0.44388,1.20721,1.73273,1.07752,1.03366,0,0.0010364,0.0010364,0.0010364
75,181.514,1.56282,2.02125,1.00202,1.03852,0,0.72822,0.78333,0.7379,0.44537,0.78083,0.68333,0.72706,0.39785,1.2029,1.67117,1.06988,1.02836,0,0.0010232,0.0010232,0.0010232
76,183.583,1.46158,1.93337,0.91593,1.01177,0,0.72822,0.78333,0.7379,0.44537,0.78083,0.68333,0.72706,0.39785,1.2029,1.67117,1.06988,1.02836,0,0.00101,0.00101,0.00101
77,185.895,1.44477,1.9804,0.92697,1.01339,0,0.67261,0.71667,0.70954,0.43909,0.7182,0.67969,0.71453,0.40682,1.2126,1.69029,1.09706,1.04039,0,0.0009968,0.0009968,0.0009968
78,187.933,1.53241,1.9076,0.9317,1.01237,0,0.67261,0.71667,0.70954,0.43909,0.7182,0.67969,0.71453,0.40682,1.2126,1.69029,1.09706,1.04039,0,0.0009836,0.0009836,0.0009836
79,190.033,1.48103,1.71206,0.88602,0.99389,0,0.68789,0.7,0.71235,0.45666,0.70013,0.7,0.71677,0.42056,1.23357,1.75412,1.10682,1.06917,0,0.0009704,0.0009704,0.0009704
80,192.09,1.57327,1.8047,1.08597,1.05828,0,0.68789,0.7,0.71235,0.45666,0.70013,0.7,0.71677,0.42056,1.23357,1.75412,1.10682,1.06917,0,0.0009572,0.0009572,0.0009572
81,194.117,1.41246,1.79851,0.91738,0.98086,0,0.67694,0.73333,0.72482,0.45885,0.66983,0.66667,0.71506,0.42031,1.23589,1.7654,1.05593,1.07489,0,0.000944,0.000944,0.000944
82,196.135,1.3833,1.82517,0.92453,0.99018,0,0.67694,0.73333,0.72482,0.45885,0.66983,0.66667,0.71506,0.42031,1.23589,1.7654,1.05593,1.07489,0,0.0009308,0.0009308,0.0009308
83,198.155,1.34834,1.86649,0.89902,1.0169,0,0.69692,0.72822,0.72446,0.44061,0.74035,0.65,0.69738,0.41621,1.21396,1.7667,1.01801,1.05936,0,0.0009176,0.0009176,0.0009176
84,200.23,1.2684,1.62382,0.85095,1.00506,0,0.69692,0.72822,0.72446,0.44061,0.74035,0.65,0.69738,0.41621,1.21396,1.7667,1.01801,1.05936,0,0.0009044,0.0009044,0.0009044
85,202.277,1.36977,1.76135,0.83678,0.95476,0,0.69863,0.75,0.71089,0.45885,0.6776,0.68333,0.66445,0.42618,1.19059,1.75311,0.98597,1.03937,0,0.0008912,0.0008912,0.0008912
86,204.351,1.37735,1.75616,0.86215,0.98967,0,0.69863,0.75,0.71089,0.45885,0.6776,0.68333,0.66445,0.42618,1.19059,1.75311,0.98597,1.03937,0,0.000878,0.000878,0.000878
87,206.467,1.2728,1.60202,0.85146,0.98541,0,0.66136,0.75,0.69416,0.44721,0.66593,0.7,0.68445,0.4355,1.16218,1.75598,1.01611,1.01337,0,0.0008648,0.0008648,0.0008648
88,208.489,1.42839,1.83902,0.83947,1.01364,0,0.66136,0.75,0.69416,0.44721,0.66593,0.7,0.68445,0.4355,1.16218,1.75598,1.01611,1.01337,0,0.0008516,0.0008516,0.0008516
89,210.564,1.37688,1.73139,0.88042,0.98736,0,0.71497,0.71667,0.70085,0.43458,0.77222,0.6,0.69016,0.4064,1.14722,1.70894,0.98292,1.01677,0,0.0008384,0.0008384,0.0008384
90,212.66,1.49213,1.86743,0.88536,1.00352,0,0.71497,0.71667,0.70085,0.43458,0.77222,0.6,0.69016,0.4064,1.14722,1.70894,0.98292,1.01677,0,0.0008252,0.0008252,0.0008252
91,214.751,1.4489,1.80858,0.87314,1.00058,0,0.73415,0.76667,0.71348,0.43836,0.73494,0.7,0.72143,0.39646,1.16919,1.68666,1.0217,1.0301,0,0.000812,0.000812,0.000812
92,217.04,1.42718,1.68285,0.89381,1.00623,0,0.73415,0.76667,0.71348,0.43836,0.73494,0.7,0.72143,0.39646,1.16919,1.68666,1.0217,1.0301,0,0.0007988,0.0007988,0.0007988
93,219.112,1.45786,1.89602,0.86737,1.02674,0,0.78177,0.77625,0.72969,0.43955,0.7632,0.75206,0.777,0.42278,1.1898,1.72945,1.00447,1.03481,0,0.0007856,0.0007856,0.0007856
94,221.16,1.33428,1.61743,0.80782,0.96176,0,0.78177,0.77625,0.72969,0.43955,0.7632,0.75206,0.777,0.42278,1.1898,1.72945,1.00447,1.03481,0,0.0007724,0.0007724,0.0007724
95,223.25,1.25226,1.6779,0.88376,0.97893,0,0.73739,0.74879,0.70863,0.45226,0.74544,0.75,0.7818,0.45525,1.17816,1.68875,1.01681,1.05297,0,0.0007592,0.0007592,0.0007592
96,226.423,1.32178,1.64819,0.847,0.96602,0,0.73739,0.74879,0.70863,0.45226,0.74544,0.75,0.7818,0.45525,1.17816,1.68875,1.01681,1.05297,0,0.000746,0.000746,0.000746
97,229.576,1.33811,1.64979,0.87802,1.04517,0,0.71609,0.71667,0.69144,0.43764,0.75735,0.66667,0.73244,0.42886,1.18125,1.65266,1.05397,1.06052,0,0.0007328,0.0007328,0.0007328
98,231.689,1.34601,1.58501,0.8334,0.98518,0,0.71609,0.71667,0.69144,0.43764,0.75735,0.66667,0.73244,0.42886,1.18125,1.65266,1.05397,1.06052,0,0.0007196,0.0007196,0.0007196
99,233.759,1.34515,1.68092,0.84211,0.96979,0,0.70089,0.7,0.71039,0.44322,0.72117,0.63333,0.69843,0.41957,1.16497,1.63217,1.05334,1.0606,0,0.0007064,0.0007064,0.0007064
100,235.893,1.45857,1.90134,0.8675,0.97156,0,0.70089,0.7,0.71039,0.44322,0.72117,0.63333,0.69843,0.41957,1.16497,1.63217,1.05334,1.0606,0,0.0006932,0.0006932,0.0006932
101,237.966,1.41364,1.74197,0.87643,0.99046,0,0.81521,0.66182,0.71983,0.4595,0.79241,0.63624,0.70653,0.44419,1.14921,1.60217,1.01954,1.0513,0,0.00068,0.00068,0.00068
102,240.042,1.40138,1.63107,0.85935,1.02176,0,0.81521,0.66182,0.71983,0.4595,0.79241,0.63624,0.70653,0.44419,1.14921,1.60217,1.01954,1.0513,0,0.0006668,0.0006668,0.0006668
103,242.164,1.37494,1.68151,0.88851,1.01833,0,0.79118,0.69469,0.73327,0.48093,0.76565,0.66667,0.73832,0.45694,1.12518,1.59874,1.0303,1.03551,0,0.0006536,0.0006536,0.0006536
104,245.322,1.31347,1.61796,0.83459,0.96609,0,0.79118,0.69469,0.73327,0.48093,0.76565,0.66667,0.73832,0.45694,1.12518,1.59874,1.0303,1.03551,0,0.0006404,0.0006404,0.0006404
105,248.534,1.49922,1.83085,0.93628,1.01093,0,0.7946,0.71667,0.73022,0.49199,0.77613,0.7,0.74319,0.4582,1.11971,1.61015,0.97797,1.02496,0,0.0006272,0.0006272,0.0006272
106,251.867,1.32529,1.66853,0.82768,0.98468,0,0.7946,0.71667,0.73022,0.49199,0.77613,0.7,0.74319,0.4582,1.11971,1.61015,0.97797,1.02496,0,0.000614,0.000614,0.000614
107,255.001,1.34051,1.68261,0.80507,0.97754,0,0.79606,0.73333,0.74165,0.48135,0.75741,0.7,0.74885,0.45354,1.11568,1.57845,0.97373,1.02643,0,0.0006008,0.0006008,0.0006008
108,257.103,1.31044,1.75935,0.82616,0.97359,0,0.79606,0.73333,0.74165,0.48135,0.75741,0.7,0.74885,0.45354,1.11568,1.57845,0.97373,1.02643,0,0.0005876,0.0005876,0.0005876
109,259.162,1.22283,1.6095,0.80548,0.98334,0,0.81686,0.74345,0.74285,0.48591,0.79894,0.72858,0.78799,0.44743,1.12927,1.54809,0.92628,1.03327,0,0.0005744,0.0005744,0.0005744
110,261.182,1.37197,1.7261,0.85277,1.0027,0,0.81686,0.74345,0.74285,0.48591,0.79894,0.72858,0.78799,0.44743,1.12927,1.54809,0.92628,1.03327,0,0.0005612,0.0005612,0.0005612
111,263.199,1.3134,1.639,0.78871,0.97647,0,0.77464,0.75,0.73747,0.48998,0.83335,0.7,0.77788,0.44975,1.15394,1.52427,0.95301,1.04131,0,0.000548,0.000548,0.000548
112,265.294,1.40339,1.72048,0.837,0.96191,0,0.77464,0.75,0.73747,0.48998,0.83335,0.7,0.77788,0.44975,1.15394,1.52427,0.95301,1.04131,0,0.0005348,0.0005348,0.0005348
113,267.36,1.23779,1.59873,0.81006,0.98031,0,0.80266,0.71667,0.75097,0.49907,0.81714,0.7,0.77767,0.47011,1.14094,1.50805,0.96905,1.05448,0,0.0005216,0.0005216,0.0005216
114,270.551,1.23619,1.63936,0.79853,0.97097,0,0.80266,0.71667,0.75097,0.49907,0.81714,0.7,0.77767,0.47011,1.14094,1.50805,0.96905,1.05448,0,0.0005084,0.0005084,0.0005084
115,273.661,1.46212,1.88205,0.84767,0.9784,0,0.79555,0.7,0.72756,0.4986,0.78339,0.68333,0.72931,0.44998,1.12839,1.50904,0.95062,1.06457,0,0.0004952,0.0004952,0.0004952
116,275.733,1.27687,1.71314,0.77286,0.97153,0,0.79555,0.7,0.72756,0.4986,0.78339,0.68333,0.72931,0.44998,1.12839,1.50904,0.95062,1.06457,0,0.000482,0.000482,0.000482
117,277.805,1.39106,1.71657,0.82418,0.98817,0,0.74845,0.74391,0.73259,0.50251,0.77156,0.66667,0.74966,0.43371,1.13363,1.521,0.95418,1.06377,0,0.0004688,0.0004688,0.0004688
118,279.845,1.22319,1.53819,0.90844,1.0078,0,0.74845,0.74391,0.73259,0.50251,0.77156,0.66667,0.74966,0.43371,1.13363,1.521,0.95418,1.06377,0,0.0004556,0.0004556,0.0004556
119,281.92,1.14772,1.5555,0.79486,0.97658,0,0.78082,0.71254,0.73668,0.49564,0.77956,0.70737,0.76579,0.4552,1.13376,1.53905,0.96133,1.0547,0,0.0004424,0.0004424,0.0004424
120,283.955,1.27374,1.71363,0.80529,0.96863,0,0.78082,0.71254,0.73668,0.49564,0.77956,0.70737,0.76579,0.4552,1.13376,1.53905,0.96133,1.0547,0,0.0004292,0.0004292,0.0004292
121,286.263,1.1895,1.52799,0.80031,0.94074,0,0.76149,0.75,0.73586,0.50166,0.79617,0.68333,0.74624,0.46102,1.1218,1.54765,0.94382,1.04026,0,0.000416,0.000416,0.000416
122,288.396,1.23932,1.53373,0.76733,0.95617,0,0.76149,0.75,0.73586,0.50166,0.79617,0.68333,0.74624,0.46102,1.1218,1.54765,0.94382,1.04026,0,0.0004028,0.0004028,0.0004028
123,290.444,1.20406,1.5699,0.77083,0.97066,0,0.82648,0.71448,0.7311,0.49883,0.80704,0.69713,0.73793,0.46838,1.09345,1.57139,0.9522,1.01493,0,0.0003896,0.0003896,0.0003896
